time,pitch,force,vel_a,vel_b
1776099035.451553,,-0.018934146739124722,,
1776099035.4518864,,,0.0,0.0
1776099035.4540474,,,0.0,0.0
1776099035.455525,0.0009419472895168589,,,
1776099035.4562304,,-0.01843232438745338,,
1776099035.456608,,,0.0,0.0
1776099035.4589548,,,0.0,0.0
1776099035.4606848,0.0007795305084319962,,,
1776099035.4613435,,-0.017715380199174277,,
1776099035.4613955,,,0.0,0.0
1776099035.4639313,,,0.0,0.0
1776099035.4659672,0.0007043181280492184,,,
1776099035.466555,,-0.01621113259151872,,
1776099035.4666164,,,0.0,0.0
1776099035.4689188,,,0.0,0.0
1776099035.4702768,0.0007086996130177359,,,
1776099035.4713364,,-0.014433526497844115,,
1776099035.471551,,,0.0,0.0
1776099035.4739447,,,0.0,0.0
1776099035.475923,0.0007752914006306398,,,
1776099035.4759982,,-0.018696447067744263,,
1776099035.4764695,,,0.0,0.0
1776099035.4789443,,,0.0,0.0
1776099035.4807367,0.0008204962147883373,,,
1776099035.4811172,,-0.017468845301703978,,
1776099035.4816785,,,0.0,0.0
1776099035.483923,,,0.0,0.0
1776099035.4856763,0.0008919508209251068,,,
1776099035.4858046,,-0.016899470503319778,,
1776099035.4864194,,,0.0,0.0
1776099035.4889946,,,0.0,0.0
1776099035.4904776,0.0009095414917607496,,,
1776099035.4910839,,-0.017251283920032636,,
1776099035.4915748,,,0.0,0.0
1776099035.4939828,,,0.0,0.0
1776099035.4960396,0.0008767890135425583,,,
1776099035.4966784,,,0.0,0.0
1776099035.4967132,,-0.018461470148713764,,
1776099035.4989798,,,0.0,0.0
1776099035.5007596,0.0007984060810592279,,,
1776099035.5012019,,-0.0150285757060022,,
1776099035.5014105,,,0.0,0.0
1776099035.5039473,,,0.0,0.0
1776099035.5052462,0.000772867356311816,,,
1776099035.5060878,,-0.016383037004098915,,
1776099035.5064006,,,0.0,0.0
1776099035.5089324,,,0.0,0.0
1776099035.510266,0.0007132012117317969,,,
1776099035.510426,,-0.014656789600199978,,
1776099035.5114298,,,0.0,0.0
1776099035.513878,,,0.0,0.0
1776099035.5154402,0.0006378861765595869,,,
1776099035.516123,,-0.011818177616009382,,
1776099035.516361,,,0.0,0.0
1776099035.5188751,,,0.0,0.0
1776099035.5202124,0.0005192475132888542,,,
1776099035.5208316,,-0.011976795784012877,,
1776099035.5213618,,,0.0,0.0
1776099035.5239024,,,0.0,0.0
1776099035.525807,0.0004121117757773234,,,
1776099035.5264676,,,0.0,0.0
1776099035.5265217,,-0.009034694265334424,,
1776099035.5288873,,,0.0,0.0
1776099035.5301294,0.0003455395157721729,,,
1776099035.5312433,,-0.006903862296783579,,
1776099035.5313368,,,0.0,0.0
1776099035.5338583,,,0.0,0.0
1776099035.535408,0.0002860365418882905,,,
1776099035.5362344,,-0.00571380281910593,,
1776099035.5365567,,,0.0,0.0
1776099035.538961,,,0.0,0.0
1776099035.5402422,0.000225558816035048,,,
1776099035.54076,,-0.0027722436370707666,,
1776099035.541424,,,0.0,0.0
1776099035.5440266,,,0.0,0.0
1776099035.5451908,0.0002537975734039007,,,
1776099035.5459216,,-0.0066677969863138085,,
1776099035.5464427,,,0.0,0.0
1776099035.548864,,,0.0,0.0
1776099035.5505881,0.00033270865859348576,,,
1776099035.5510485,,-0.004115853719791685,,
1776099035.5514214,,,0.0,0.0
1776099035.553869,,,0.0,0.0
1776099035.5559914,0.0003505768340384676,,,
1776099035.5564125,,-0.007803995430557309,,
1776099035.556451,,,0.0,0.0
1776099035.5591588,,,0.0,0.0
1776099035.5610676,0.00033572032917419573,,,
1776099035.5616553,,-0.007506865333271872,,
1776099035.561715,,,0.0,0.0
1776099035.5639892,,,0.0,0.0
1776099035.5651665,0.00035962189857482156,,,
1776099035.5657449,,-0.009183976873956144,,
1776099035.5663645,,,0.0,0.0
1776099035.5692203,,,0.0,0.0
1776099035.570747,0.0003806678048324959,,,
1776099035.57091,,-0.005741192284945085,,
1776099035.5713882,,,0.0,0.0
1776099035.5740206,,,0.0,0.0
1776099035.5757303,0.0003562391972313205,,,
1776099035.5759134,,-0.005119389004846938,,
1776099035.5763915,,,0.0,0.0
1776099035.578965,,,0.0,0.0
1776099035.581395,0.00033842457121091,,,
1776099035.5814745,,,0.0,0.0
1776099035.582052,,-0.007028025661707599,,
1776099035.5840259,,,0.0,0.0
1776099035.5858822,0.0003596457388637742,,,
1776099035.5863888,,,0.0,0.0
1776099035.5881746,,-0.007452449014764883,,
1776099035.5888917,,,0.0,0.0
1776099035.590691,0.0003332975542490702,,,
1776099035.5910113,,-0.006525791938246884,,
1776099035.591739,,,0.0,0.0
1776099035.5940099,,,0.0,0.0
1776099035.595571,0.0002797426355710645,,,
1776099035.595864,,-0.007719622741955642,,
1776099035.5964487,,,0.0,0.0
1776099035.5991027,,,0.0,0.0
1776099035.6007454,0.00022399378018573508,,,
1776099035.6008084,,-0.0050058720973533795,,
1776099035.6014495,,,0.0,0.0
1776099035.6040092,,,0.0,0.0
1776099035.6052787,0.000188942091531075,,,
1776099035.6059754,,-0.005770380733081212,,
1776099035.606617,,,0.0,0.0
1776099035.608939,,,0.0,0.0
1776099035.6102545,0.00022431931099586063,,,
1776099035.6107247,,-0.0038133025608841353,,
1776099035.6121411,,,0.0,0.0
1776099035.6141136,,,0.0,0.0
1776099035.6161563,0.00027265404331927384,,,
1776099035.6167202,,,0.0,0.0
1776099035.6167753,,-0.005046459463501678,,
1776099035.6190486,,,0.0,0.0
1776099035.620947,0.0003314073581292175,,,
1776099035.6215549,,,0.0,0.0
1776099035.6216,,-0.008219992680820144,,
1776099035.624143,,,0.0,0.0
1776099035.6259506,0.0004228630687317143,,,
1776099035.6269376,,,0.0,0.0
1776099035.6269915,,-0.009782644636720801,,
1776099035.6289902,,,0.0,0.0
1776099035.6331458,,,0.0,0.0
1776099035.634181,0.000522176581165225,,,
1776099035.6349125,,,0.0,0.0
1776099035.6355138,,-0.010836296988868538,,
1776099035.63665,0.0005404812455120386,,,
1776099035.6368747,,,0.0,0.0
1776099035.6384141,,-0.01120239027580481,,
1776099035.6388874,,,0.0,0.0
1776099035.6408725,0.00046035647944530245,,,
1776099035.6412992,,-0.010399281722917923,,
1776099035.6416647,,,0.0,0.0
1776099035.643949,,,0.0,0.0
1776099035.6461537,0.0003522993050099229,,,
1776099035.6465938,,-0.005839977928866822,,
1776099035.6472452,,,0.0,0.0
1776099035.6489556,,,0.0,0.0
1776099035.6514509,,,0.0,0.0
1776099035.651725,0.00021697481853206115,,,
1776099035.6523976,,-0.0043325683519813436,,
1776099035.6539643,,,0.0,0.0
1776099035.6568396,3.241245397132424e-05,,,
1776099035.6568933,,-0.000774552188841244,,
1776099035.6574392,,,0.0,0.0
1776099035.6589124,,,0.0,0.0
1776099035.660743,-0.00014729331144707316,,,
1776099035.6608582,,0.000954327326481751,,
1776099035.6613925,,,0.0,0.0
1776099035.6639128,,,0.0,0.0
1776099035.666355,-0.0002610031512794869,,,
1776099035.6664171,,0.004694066531951061,,
1776099035.6664333,,,0.0,0.0
1776099035.6690545,,,0.0,0.0
1776099035.6708329,-0.00030943554664086473,,,
1776099035.671423,,0.005929176695327896,,
1776099035.6715932,,,0.0,0.0
1776099035.673935,,,0.0,0.0
1776099035.6763422,-0.0003393163989555479,,,
1776099035.676997,,0.008525260662741152,,
1776099035.6770606,,,0.0,0.0
1776099035.6791399,,,0.0,0.0
1776099035.6809146,-0.0002869231434328015,,,
1776099035.6813743,,0.00587862201539055,,
1776099035.6814098,,,0.0,0.0
1776099035.6840234,,,0.0,0.0
1776099035.6855605,-0.00020140160723772487,,,
1776099035.6860025,,0.003635266779190459,,
1776099035.6867843,,,0.0,0.0
1776099035.6889937,,,0.0,0.0
1776099035.6906078,-8.153647457783856e-05,,,
1776099035.6911592,,0.0005718084856195355,,
1776099035.691404,,,0.0,0.0
1776099035.693996,,,0.0,0.0
1776099035.695573,4.350860002580648e-06,,,
1776099035.6960993,,0.0011189909712800228,,
1776099035.6968172,,,0.0,0.0
1776099035.699003,,,0.0,0.0
1776099035.7005222,0.0001162256741916612,,,
1776099035.7012439,,-0.0047157457705168555,,
1776099035.7017517,,,0.0,0.0
1776099035.7040906,,,0.0,0.0
1776099035.705642,0.00016679266909541934,,,
1776099035.7062604,,-0.0027960008509499484,,
1776099035.7069244,,,0.0,0.0
1776099035.709005,,,0.0,0.0
1776099035.7106109,0.0001877217646238633,,,
1776099035.7112243,,-0.006945054347608734,,
1776099035.711779,,,0.0,0.0
1776099035.7139206,,,0.0,0.0
1776099035.7157362,0.00015919127712524955,,,
1776099035.7162492,,-0.0037098220361436686,,
1776099035.7170818,,,0.0,0.0
1776099035.7191007,,,0.0,0.0
1776099035.7214327,,,0.0,0.0
1776099035.7217581,0.00014074083847809987,,,
1776099035.721791,,-0.0018752708543796404,,
1776099035.7240415,,,0.0,0.0
1776099035.7260072,0.00010920084740073388,,,
1776099035.7260725,,-0.002576782313578716,,
1776099035.7266793,,,0.0,0.0
1776099035.72913,,,0.0,0.0
1776099035.730926,9.878006806860861e-05,,,
1776099035.7315228,,,0.0,0.0
1776099035.7324178,,-0.0010360554461898153,,
1776099035.7339964,,,0.0,0.0
1776099035.7363806,0.00014065380436619062,,,
1776099035.7364187,,,0.0,0.0
1776099035.736601,,-0.002939379196738572,,
1776099035.739096,,,0.0,0.0
1776099035.741093,0.00022192389516152743,,,
1776099035.7414494,,,0.0,0.0
1776099035.741896,,-0.005097705524943866,,
1776099035.7438822,,,0.0,0.0
1776099035.7455416,0.0003813608648076133,,,
1776099035.7457488,,-0.007620289277492386,,
1776099035.7463377,,,0.0,0.0
1776099035.7489023,,,0.0,0.0
1776099035.7505586,0.0005570462406456992,,,
1776099035.7512968,,-0.009535223257358429,,
1776099035.75143,,,0.0,0.0
1776099035.754151,,,0.0,0.0
1776099035.7556121,0.0007301552470022751,,,
1776099035.7561033,,-0.014596176921385621,,
1776099035.756599,,,0.0,0.0
1776099035.759073,,,0.0,0.0
1776099035.7608109,0.0008423861479943664,,,
1776099035.761555,,-0.015375252532406413,,
1776099035.7616138,,,0.0,0.0
1776099035.7640483,,,0.0,0.0
1776099035.7660253,0.0009518368967217665,,,
1776099035.7663395,,-0.01916304104385009,,
1776099035.7668664,,,0.0,0.0
1776099035.769512,,,0.0,0.0
1776099035.7705486,0.0009683200534752561,,,
1776099035.7709956,,-0.019492704178919882,,
1776099035.7714152,,,0.0,0.0
1776099035.7739408,,,0.0,0.0
1776099035.7763686,,,0.0,0.0
1776099035.7776072,0.0010015059760433783,,,
1776099035.7776246,,-0.0204228848864316,,
1776099035.7788713,,,0.0,0.0
1776099035.7803524,0.001028766153251609,,,
1776099035.7804728,,-0.01750407910065559,,
1776099035.7813635,,,0.0,0.0
1776099035.7838748,,,0.0,0.0
1776099035.7851603,0.0011043496555209636,,,
1776099035.7857184,,-0.02208006509175939,,
1776099035.7863708,,,0.0,0.0
1776099035.788882,,,0.0,0.0
1776099035.7906697,0.001196328457304909,,,
1776099035.7910635,,-0.0232534854870651,,
1776099035.7914026,,,0.0,0.0
1776099035.793895,,,0.0,0.0
1776099035.795376,0.0012602794026591007,,,
1776099035.795826,,-0.02626450905911925,,
1776099035.7963493,,,0.0,0.0
1776099035.7989094,,,0.0,0.0
1776099035.8004298,0.0012807972166858509,,,
1776099035.8007917,,-0.0248096295466093,,
1776099035.801358,,,0.0,0.0
1776099035.8038576,,,0.0,0.0
1776099035.8054118,0.0012103577781306485,,,
1776099035.8062036,,-0.025932232208923406,,
1776099035.806381,,,0.0,0.0
1776099035.809725,,,0.0,0.0
1776099035.8116102,,,0.0,0.0
1776099035.811949,0.0011438501906949324,,,
1776099035.812753,,-0.025001773844432997,,
1776099035.8138697,,,0.0,0.0
1776099035.8154223,0.0010480036294087498,,,
1776099035.815853,,-0.02135283795373903,,
1776099035.8163598,,,0.0,0.0
1776099035.8192027,,,0.0,0.0
1776099035.8209164,0.0010349253193989373,,,
1776099035.8214366,,-0.02162419626584134,,
1776099035.8220654,,,0.0,0.0
1776099035.82405,,,0.0,0.0
1776099035.8254218,0.0009910771019744984,,,
1776099035.826374,,,0.0,0.0
1776099035.8280745,,-0.020747231917352563,,
1776099035.8288848,,,0.0,0.0
1776099035.830951,0.0010038530200728454,,,
1776099035.8316033,,-0.02246829268814054,,
1776099035.8316576,,,0.0,0.0
1776099035.833923,,,0.0,0.0
1776099035.8356786,0.0009521604663174099,,,
1776099035.8361163,,-0.02143444161303183,,
1776099035.8365045,,,0.0,0.0
1776099035.8389149,,,0.0,0.0
1776099035.840697,0.0009059572441207004,,,
1776099035.8414092,,-0.01664667445493309,,
1776099035.8416085,,,0.0,0.0
1776099035.8439004,,,0.0,0.0
1776099035.8453984,0.0007816431301932217,,,
1776099035.8459241,,-0.01416039217638352,,
1776099035.8463979,,,0.0,0.0
1776099035.8490152,,,0.0,0.0
1776099035.850538,0.0006654994441790045,,,
1776099035.8508656,,-0.015168296657965163,,
1776099035.851453,,,0.0,0.0
1776099035.8555956,,,0.0,0.0
1776099035.856519,0.0005453060152611759,,,
1776099035.8566144,,,0.0,0.0
1776099035.856952,,-0.010899192286563636,,
1776099035.858964,,,0.0,0.0
1776099035.8604212,0.0004458495982438857,,,
1776099035.861386,,,0.0,0.0
1776099035.863511,,-0.008243908305844636,,
1776099035.8639767,,,0.0,0.0
1776099035.865375,0.0003754744943190126,,,
1776099035.8661394,,-0.006836406227347174,,
1776099035.8664408,,,0.0,0.0
1776099035.8690164,,,0.0,0.0
1776099035.8708234,0.00024063814413060382,,,
1776099035.8714757,,,0.0,0.0
1776099035.8726015,,-0.0054719905043253934,,
1776099035.8739192,,,0.0,0.0
1776099035.87574,0.0001626274516259765,,,
1776099035.876426,,,0.0,0.0
1776099035.876473,,-0.0036453143980835685,,
1776099035.8789122,,,0.0,0.0
1776099035.8806982,9.992443311980158e-05,,,
1776099035.881611,,-0.002924178540258628,,
1776099035.8816614,,,0.0,0.0
1776099035.8839362,,,0.0,0.0
1776099035.8859804,2.1665785841416764e-05,,,
1776099035.8867908,,,0.0,0.0
1776099035.886844,,-0.0013590055946909314,,
1776099035.8889084,,,0.0,0.0
1776099035.890535,-0.00010808000619688072,,,
1776099035.890994,,0.0013691413741496574,,
1776099035.891398,,,0.0,0.0
1776099035.8939092,,,0.0,0.0
1776099035.8956301,-0.00017486482139847034,,,
1776099035.8963733,,0.00030667737283793847,,
1776099035.8964267,,,0.0,0.0
1776099035.8989162,,,0.0,0.0
1776099035.901103,-0.000293762956763223,,,
1776099035.901928,,0.006148649410073619,,
1776099035.9019759,,,0.0,0.0
1776099035.9039743,,,0.0,0.0
1776099035.9056761,-0.00043993030474737284,,,
1776099035.9063408,,0.008938765241681976,,
1776099035.9063923,,,0.0,0.0
1776099035.9089317,,,0.0,0.0
1776099035.910542,-0.00048731732060367986,,,
1776099035.9111311,,0.010019736686882757,,
1776099035.9115443,,,0.0,0.0
1776099035.9139504,,,0.0,0.0
1776099035.915588,-0.0005150331095733816,,,
1776099035.9167967,,0.010574052466276792,,
1776099035.9168673,,,0.0,0.0
1776099035.9190059,,,0.0,0.0
1776099035.9208338,-0.0005166795823691285,,,
1776099035.9209309,,0.007542665976475021,,
1776099035.9213808,,,0.0,0.0
1776099035.9240317,,,0.0,0.0
1776099035.925579,-0.00046463593744997016,,,
1776099035.92643,,0.009299646767659283,,
1776099035.926501,,,0.0,0.0
1776099035.9290538,,,0.0,0.0
1776099035.9305358,-0.0003601109348966691,,,
1776099035.9314146,,0.008941151381563575,,
1776099035.9314673,,,0.0,0.0
1776099035.9340832,,,0.0,0.0
1776099035.9355807,-0.0003331107555210588,,,
1776099035.9364102,,,0.0,0.0
1776099035.9374673,,0.007868223281752813,,
1776099035.939342,,,0.0,0.0
1776099035.9409351,-0.000316861329409314,,,
1776099035.9418416,,,0.0,0.0
1776099035.9434361,,0.006077692350696881,,
1776099035.9440203,,,0.0,0.0
1776099035.9455452,-0.00032305150760697006,,,
1776099035.946431,,,0.0,0.0
1776099035.9472256,,0.006201495914650003,,
1776099035.9489064,,,0.0,0.0
1776099035.95073,-0.00030509080490815596,,,
1776099035.9516008,,,0.0,0.0
1776099035.951655,,0.005442588476449802,,
1776099035.9540415,,,0.0,0.0
1776099035.9556322,-0.00033603324737312444,,,
1776099035.9565024,,0.006994055222271648,,
1776099035.9565582,,,0.0,0.0
1776099035.959042,,,0.0,0.0
1776099035.9606993,-0.0002873895361058667,,,
1776099035.96161,,,0.0,0.0
1776099035.961661,,0.004022714075806901,,
1776099035.964045,,,0.0,0.0
1776099035.965702,-0.00020560869873044674,,,
1776099035.966423,,,0.0,0.0
1776099035.967048,,0.00265355958444778,,
1776099035.9690928,,,0.0,0.0
1776099035.9709527,-0.00011950441357346322,,,
